country,Labour_Market_Age,School_leaving_Age
Afghanistan,14,13
Algeria,16,16
Argentina,14,18
Australia,15,15
Austria,15,15
Bangladesh,14,10
Bolivia,14,16
Bosnia Herzegovina,15,15
Botswana,14,15
Brazil,16,17
Cambodia,14,15
Cameroon,14,14
Canada,16,16
Chile,15,18
China,16,15
Colombia,14,15
Costa Rica,15,17
Croatia,15,15
Czech Republic,15,15
Egypt,14,14
Estonia,15,15
Finland,15,18
France,16,16
Georgia,15,14
Germany,15,16
Ghana,15,15
Greece,15,15
Guatemala,14,15
Haiti,14,11
Hungary,16,16
India,14,18
Indonesia,15,18
Iran,15,12
Iraq,15,15
Israel,15,16
Italy,15,16
Japan,15,15
Jordan,16,16
Kazakhstan,16,15
Kenya,16,15
Lithuania,16,16
Malawi,14,14
Mexico,15,18
Moldova,16,16
Morocco,15,15
Netherlands,15,18
Nicaragua,14,14
Nigeria,15,15
Pakistan,14,10
Peru,14,16
Philippines,15,18
Poland,15,18
Portugal,16,18
Romania,16,18
Russia,16,17
Rwanda,14,16
Saudi Arabia,15,15
Serbia,15,14
South Africa,16,15
South Korea,15,15
Spain,16,16
Sri Lanka,14,16
Suriname,16,18
Sweden,15,16
Switzerland,15,15
Tanzania,14,13
Thailand,15,15
Turkey,15,18
Uganda,14,15
Ukraine,16,17
United Arab Emirates,15,18
United Kingdom,16,16
United States,14,16
Venezuela,14,14
Vietnam,15,18
Zimbabwe,14,16